  ;nf0rKw4r)Sta
  ia-krp-admin;$OvE~d4b5I37
ia-krp-admin  ;$OvE~d4b5I37
IA-KRP-ADMIN;$OvE~d4b5I37
ia-KRP-admin;$OvE~d4b5I37
.ia.KRP.admin;$OvE~d4b5I37
3465665436;$OvE~d4b5I37
Брат мой, двадцатидвухлетний малый, принадлежал сословию тогдашних франтов, он считался в Иностранной коллегии и жил в Москве, танцуя и повесничая. Он влюбился в Полину и упросил меня сблизить наши домы. Брат был идолом всего нашего семейства, DSDFFD11JHG;$OvE~d4b5I37
Брат мой, двадцатидвухлетний малый, принадлежал сословию тогдашних франтов, он считался в Иностранной коллегии и жил в Москве, танцуя и повесничая. Он влюбился в Полину и упросил меня сблизить наши домы. Брат был идолом всего нашего семейства, DSDFFD11HFDG;$OvE~d4b5I37
Брат мой, двадцатидвухлетний малый, принадлежал сословию тогдашних франтов, он считался в Иностранной коллегии и жил в Москве, танцуя и повесничая. Он влюбился в Полину и упросил меня сблизить наши домы. Брат был идолом всего нашего семейства, DSDFFD11HFDG6;$OvE~d4b5I37
Читая "Рославлева", с изумлением увидела я, что завязка его основана на истинном происшествии, слишком для меня известном. Некогда я была другом несчастной женщины, выбранной г. Загоскиным в героини его повести. Он вновь обратил внимание публики на происшествие забытое, разбудил чувства негодования, усыпленные временем, и возмутил спокойствие могилы. Я буду защитницею тени, -- и читатель извинит слабость пера моего, уважив сердечные мои побуждения. Буду принуждена много говорить о самой себе, потому что судьба моя долго была связана с участью бедной моей подруги.    Полина чрезвычайно много читала и без всякого разбора. Ключ от библиотеки отца ее был у ней. Библиотека большею частию состояла из сочинений писателей XVIII века. Французская словесность, от Монтескьё до романов Кребильона, была ей знакома. Руссо знала она наизусть. В библиотеке не было ни одной русской книги, кроме сочинений Сумарокова, которых Полина никогда не раскрывала. Она сказывала мне, что с трудом разбирала русскую;$OvE~d4b5I37
